sonde	year	date	h	m	foF2	foF1	M(D)	MUF(D)	fmin	foEs	fminF	fminE	foE	fxI	h'F	h'F2	h'E	h'Es	hmE	yE	QF	QE	DownF	DownE	DownEs	FF	FE	D	fMUF	h'(fMUF)	delta_foF2	foEp	f(h'F)	f(h'F2)	foF1p	peak height of F2 layer	peak height of F1 layer	zhalfNm	foF2p	fminEs	yF2	yF1	TEC	scale F2	B0	B1	D1	foEa	h'Ea	foP	h'P	fbEs	Type Es
RA041	2019	08/03/2019	7	45	4.8	3.7	3.9	18.7		5.1			3.0	5.5				112.0	110.0	20.0																180.0	0.5								23.0	2.8	1.2						
RA041	2019	08/03/2019	10	30	5.6	4.1	3.59	20.1		4.1			3.2	6.3				103.0	110.0	20.0																220.0	0.2								58.0	2.0	1.0						
RA041	2019	08/03/2019	15	15	4.7		3.62	17.0		3.3			2.9	5.4				99.0	110.0	20.0																210.0	0.0								96.0	2.0	0.0						
RA041	2019	08/03/2019	13	45	4.7		3.28	15.4		4.0			3.1	5.3				103.0	110.0	20.0																210.0	0.0								99.0	3.2	0.0						
RA041	2019	08/03/2019	12	30						3.9								99.0																																			
RA041	2019	08/03/2019	23	15	3.7		3.81	14.1					0.4	4.4					110.0	20.0																222.0	0.0								32.0	2.8	0.0						
RA041	2019	08/03/2019	1	15	3.0		3.57	10.7		2.1			0.6	3.7				94.0	110.0	20.0																255.0	0.0								50.0	2.0	0.0						
RA041	2019	08/03/2019	12	45	4.7		3.11	14.6		3.9			3.2	5.3				108.0	110.0	20.0																240.0	0.0								125.0	1.2	0.0						
RA041	2019	08/04/2019	20	45	5.4		3.48	18.8		7.3			0.7	6.1				103.0	110.0	20.0																258.0	0.0								66.0	2.4	0.0						
RA041	2019	08/04/2019	19	45	5.1		3.25	16.6		3.2			0.9	5.8				99.0	110.0	20.0																286.0	0.0								58.0	2.4	0.0						
RA041	2019	08/04/2019	0	30	2.4		3.54	8.5		3.7			0.5	3.1				99.0	110.0	20.0																258.0	0.0								37.0	2.4	0.0						
RA041	2019	08/04/2019	14	15						5.6								108.0																																			
RA041	2019	08/04/2019	7	0	4.6		3.24	14.9		4.1			2.8	5.2				112.0	110.0	20.0																220.0	0.0								80.0	3.6	0.0						
RA041	2019	08/04/2019	4	45	3.4		3.68	12.5		2.7			2.0	4.1				126.0	110.0	20.0																200.0	0.0								78.0	1.2	0.0						
RA041	2019	08/04/2019	8	30						5.4								108.0																																			
RA041	2019	08/04/2019	3	45	2.1		3.62	7.6					1.4	2.8					110.0	20.0																210.0	0.0								91.0	1.2	0.0						
RA041	2019	08/04/2019	4	15	2.8		3.5	9.8					1.7	3.5					110.0	20.0																230.0	0.0								80.0	2.8	0.0						
RA041	2019	08/04/2019	15	0						3.4								112.0																																			
RA041	2019	08/04/2019	10	15						4.9								112.0																																			
RA041	2019	08/04/2019	3	0	2.2		3.55	7.8		3.3			1.1	2.9				99.0	110.0	20.0																264.0	0.0								75.0	2.0	0.0						
RA041	2019	08/04/2019	14	30						5.0								108.0																																			
RA041	2019	08/04/2019	19	0	5.1		3.25	16.6		2.8			1.2	5.8				99.0	110.0	20.0																273.0	0.0								66.0	1.6	0.0						
RA041	2019	08/04/2019	5	45	4.6		3.39	15.6		3.5			2.5	5.1				121.0	110.0	20.0																248.0	0.0								100.0	2.8	0.0						
RA041	2019	08/04/2019	15	15	4.5		3.0	13.5		4.3			2.9	5.0				112.0	110.0	20.0																260.0	0.0								122.0	2.4	0.0						
RA041	2019	08/04/2019	7	45						8.5								103.0																																			
RA041	2019	08/04/2019	1	45	2.2		3.36	7.4					0.7	2.9					110.0	20.0																262.0	0.0								68.0	1.2	0.0						
RA041	2019	08/04/2019	22	45	3.9		3.49	13.6		5.8			0.4	4.6				103.0	110.0	20.0																258.0	0.0								49.0	3.2	0.0						
RA041	2019	08/04/2019	22	15	4.1		3.59	14.7		6.0			0.5	4.8				108.0	110.0	20.0																247.0	0.0								37.0	2.8	0.0						
RA041	2019	08/04/2019	16	30	4.3	3.5	3.3	14.2		3.2			2.5	4.9				108.0	110.0	20.0																230.0	0.0								75.0	2.0	1.0						
RA041	2019	08/04/2019	10	30						4.7								108.0																																			
RA041	2019	08/04/2019	16	45	4.4	3.4	3.32	14.6		3.0			2.4	5.1				108.0	110.0	20.0																242.0	0.1								76.0	1.6	1.0						
RA041	2019	08/04/2019	17	45	4.3		3.44	14.8					1.9	5.0					110.0	20.0																242.0	0.0								63.0	3.6	0.0						
RA041	2019	08/04/2019	8	15						5.7								108.0																																			
RA041	2019	08/04/2019	4	30	3.1		3.68	11.4					1.9	3.8					110.0	20.0																210.0	0.0								81.0	2.0	0.0						
RA041	2019	08/04/2019	20	0	5.3		3.21	17.0		2.9			0.9	6.0				99.0	110.0	20.0																283.0	0.0								54.0	2.0	0.0						
