sonde	lat	lon	name
TZJ2J	-21.5	-67.7	TUPIZA
UP158	59.8	17.6	UPPSALA
UAJ5M	-54.8	-68.3	USHUAIA
VA50L	-2.7	141.3	VANIMO
VI848	48.4	-123.4	VICTORIA
53951	50.8	-96.1	VICTORIA_BEACH
VO47P	-78.4	106.9	VOSTOK
WK546	45.4	141.7	WAKKANAI
WI937	37.8	-75.5	WALLOPS_IS
WP937	37.8	-75.5	WALLOPS_IS
WA938	38.7	-77.1	WASHINGTON
WT43_	-30.3	115.9	WATHEROO
WE667	66.6	-169.8	WELLEN
WS832	32.3	-106.5	WHITE_SANDS
WL46O	-66.9	110.5	WILKES
WI949	49.8	-94.4	WINNIPEG
WO53J	-30.8	136.3	WOOMERA
54430	30.6	114.4	WUCHANG
WU430	30.5	114.3	WUHAN
WM344	43.7	87.6	WULUMUQI
WY41N	-15.4	128.1	WYNDHAM_WA
XI434	35.3	113.9	XINXIANG
YA462	62	129.6	YAKUTSK
YG431	31.2	130.6	YAMAGAWA
YE862	62.4	-114.4	YELLOWKNIFE
SA547	47	143	YUZHNO_SAKHALINS
ZS36R	-69.2	76.2	ZHONG-SHAN
